fullname,full_address,gpt-response
Engineering Research Center of Genetic Medicine of Ministry of Education,"Guangzhou, China",Unknown
"Key Laboratory of Modern Teaching Technology, Ministry of Education","Xi'an, 710119, China",Shaanxi Normal University
"Key Laboratory of Aquatic Organism Reproduction and Development, Ministry of Education, Key Laboratory of Aquatic Science of Chongqing","Beibei, 400715 Chongqing, China",Chongqing Normal University
"Key Laboratory for Green Chemical Processes of the Ministry of Education, Hubei Key Lab of Novel Reactor and Green Chemical Technology, School of Chemical Engineering and Pharmacy, Wuhan Institute of Technology","Wuhan 430074, China",Wuhan Institute of Technology
"Beijing Key Lab. for Metamaterials and Devices, Key Laboratory of Terahertz Optoelectronics, Ministry of Education","Beijing, 100048, China",Beijing University of Posts and Telecommunications
"Key Laboratory of Functional Molecular Solids, Ministry of Education, Anhui Key Laboratory of Molecule-Based Materials","Wuhu 241000, China",Anhui Normal University
"Key Laboratory of Tropical Disease Control, Ministry of Education",China,Sun Yat-sen University
"Engineering Research Center of Endogenous Prophylactic, Ministry of Education of China",China,Unknown
"College of Urban Construction and Environmental Engineering, Ministry of Education","Chongqing 400045, China",Chongqing University
"Key Laboratory of Western China's Mineral Resources and Geological Engineering, Ministry of Education","Xi'an 710054, Shaanxi, China",China University of Geosciences
"Key Laboratory of Superlight Materials and Surface Technology, Ministry of Education, College of Materials Science and Chemical Engineering","Harbin 150001, China",Harbin Engineering University
Key Laboratory of Micro/Nano Systems for Aerospace of the Ministry of Education,"Xi'an 710072, China",Northwestern Polytechnical University
"Engineering Research Center of Security Technology of Complex Network System, Ministry of Education","Liaoning, Shenyang, 110819, China",Northeastern University
"Key Laboratory of Traditional Chinese Medicine Resource, Compound Prescription (Hubei College of TCM), Ministry of Education","Wuhan, 430065, China",Hubei University of Chinese Medicine
"Key Laboratory of Advanced Perception and Intelligent Control of High-end Equipment, Ministry of Education","Beijing, China",Unknown
"Key Lab. Coherent Light, Atom. M., Educational Ministry of China","Changchun, China",Jilin University
"Key Laboratory for Advanced Display and System Application, Ministry of Education","Shanghai, 200072, China",Shanghai University
"Key Lab. of Textile science and Technology, Ministry of Education","Shanghai 201620, China",Donghua University
Key Laboratory for Geophysical Instrument of Ministry of Education,"Changchun, 130061, China",Jilin University
"Ministry of Education, Engineering Research Center of Sustainable Development and Utilization of Biomass Energy","Kunming, 650500, China",Kunming University of Science and Technology
Key Laboratory of Autonomous Systems and Network Control of Ministry of Education,"Guangzhou, China",South China University of Technology
"Key Laboratory of Opto-Electronics, Information Technology (Ministry of Education)","Tianjin, 300072, China",Tianjin University
"Key Laboratory of Analytical Chemistry for Life Science of Shaanxi Province, Engineering Research Center of Historical and Cultural Heritage Protection, Ministry of Education, School of Chemistry and Materials Science, Shaanxi Normal Univ.","Xi'an 710062, China",Shaanxi Normal University
"Key Laboratory of Optoelectronic Science and Technology for Medicine, Ministry of Education, Fujian Provincial Engineering Technology Research Center of Photoelectric Sensing Application","Fuzhou, Fujian, 350007, China",Unknown
"Key Laboratory of Concrete and Prestressed Concrete Structures of Ministry of Education, Southeast Univ","2 Sipailou Rd, Xuanwu District, Nanjing, 210096, China",Southeast University
Key Laboratory of Complex Systems Modeling and Simulation of Ministry of Education,"Hangzhou, China",Zhejiang University
"Key Laboratory for Evolution of Past Life and Environment in Northeast Asia, Ministry of Education","Changchun 130026, China",Northeast Normal University
"Engineering Research Center for the Development and Application of Ethnic Medicine and TCM, Ministry of Education","Guiyang, 550004, Guizhou, China",Guizhou University
"Research Center of Nature Drug Engineering for Anti-tumor, Ministry of Education","Harbin, 150076, China",Harbin Medical University
"Research Center of Soil and Water Conservation and Ecological Environment, Chinese Academy of Sciences, Ministry of Education","Yangling, Shaanxi Province 712100, No. 26 Xinong Road, China",Northwest A&F University
"Key Laboratory of Systems Bioengineering, Ministry of Education, Department of Pharmaceutical Engineering","Nankai District, Tianjin 300072, Weijin Road 92#, China",Nankai University
"Ministry of Education, Key Laboratory of Integrated Regulation and Resource Development on Shallow Lakes, Hohai Univ.",China,Hohai University
"Frontiers Science Center for Nonlinear Expectations, Ministry of Education","Qingdao, 266237, China",Qingdao University
"Key Laboratory of Universal Wireless Communication, Ministry of Education","Beijing 100876, No.10, Xi Tu Cheng Road, Haidian District, China",Beijing University of Posts and Telecommunications
"Key Laboratory of Metalorganic Prediction of Nonferrous Metals, Ministry of Education","Changsha, 410083, China",Central South University
"Research Center for Structures in Oil and Gas Bearing Basins, Ministry of'Education","Hangzhou 310027, China",Zhejiang University
Key Liboratory of Eco-environments in Three Gorges Reservoir Region Ministry of Education,"Chongqing 400715, China",Unknown
"The Key Lab of Pollution Control, Ecosystem Restoration in Industry Clusters, Ministry of Education",China,Unknown
"Key Laboratory for Nanomaterials, Ministry of Education, Beijing Univ. of Chemical Technology","Beijing, 100029, China",Beijing University of Chemical Technology
"Key Lab of Broadband Wireless Communication and Sensor Network Technology of Ministry of Education, NUPT","Nanjing, 210003, China",Nanjing University of Posts and Telecommunications
"Department Key Laboratory of Micro-Systems and Micro-Structures Manufacturing of Ministry of Education, Centre for Precision Engineering, Harbin Institute of Technology","Harbin, 150001, China",Harbin Institute of Technology
"Key Laboratory of Bioactive Substances and Resources Utilization of Chinese Herbal Medicine (Peking, Ministry of Education","Beijing, 100050, China",Peking University
"Key Laboratory of Advanced Energy Materials Chemistry, Ministry of Education, Collaborative Innovation Center of Chemical Science and Engineering, Nankai","Tianjin, 300071, China",Nankai University
"Key Lab. Sci./Technol. C., Ministry of Education, Beijing Univ. of Chemical Technology","Beijing 100029, 15 Beisanhuan Dong Road, China",Beijing University of Chemical Technology
Key Laboratory of Geo-Exploration Instrumentation of Ministry of Education,"Changchun 130061, China",Jilin University
"Key Laboratory of Microsystems and Microstructures Manufacturing, Ministry of Education, Micro/Nanotechnology Research Centre, Harbin Institute of Technology","Harbin, 150080, China",Harbin Institute of Technology
"State and Local Joint Engineering Research Center of Green Pesticide Invention and Application, Key Laboratory of Integrated Management of Crop Diseases and Pests, Ministry of Education","Nanjing, 210095, China",Nanjing Agricultural University
"Institute of Marine Development of OUC, Key Research Institute of Humanities and Social Science at Universities, Ministry of Education","Shandong, Qingdao, 266100, China",Ocean University of China
Engineering Research Center for Metallurgical Automation and Measurement Technology of Ministry of Education,"Wuhan, China",Wuhan University
"Engineering Research Center, Port Logistics Technology and Equipment, Ministry of Education","Wuhan, China",Unknown
"Beijing Key Lab of Hearing Impairment Prevention and Treatment, ChinaNational Clinical Research Center for Otolaryngologic DiseasesState Key Lab of Hearing Science, Chinese PLA General Hospital, Chinese PLA Medical School, Ministry of Education, College of Otolaryngology Head and Neck Surgery","Beijing, China",Chinese PLA General Hospital
"Key Lab of Biorheological Science and Technology, Ministry of Education","Chongqing, China",Chongqing University
"State Key Laboratory of Ecological Control of Fujian-Taiwan Crop Pests, Key Laboratory of Ministry of Education for Genetics, Breed. and Multiple Utiliz. of Crops, Plant Immun. Ctr, Coll. of Agric, Fujian Agric. and Forest. Univ","Fuzhou, 350002, China",Fujian Agriculture and Forestry University
"Key Laboratory for Special Functional Materials, Ministry of Education, Natl. and Loc. Jt. Eng. Res. Ctr. for High-efficiency Display and Lighting Technol., Sch. of Mat. Sci. and Eng., Collab. Innov. Ctr. of Nano Funct. Mat. and Applic., Henan Univ.","Kaifeng, 475004, China",Henan University
"Department of Breast Cancer Pathology, Cancer Institute and Hospital, Ministry of Education","Tiyuan Bei, Hexi District, Tianjin 300060, Huan hu xi Road, China",Unknown
"Women's Hospital, School of Medicine, Zhejiang Univ., Key Lab. of Women's Repro. Hlth. of Zhejiang Prov., Key Lab. of Repro. Genet., Min. of Educ.","Xueshi Road, Hangzhou, Zhejiang Province, 310006, China",Zhejiang University
GIS Technology Research Center of Resource and Environment in Western China of Ministry of Education,"Kunming, 650500, China",Unknown
"Key Lab of Enhanced Heat Transfer and Energy Conservation, Ministry of Education, School of Chemical and Energy Engineering","Guangzhou, Guangdong 510641, China",South China University of Technology
"College of Computer Science and Technology, Symbol Computation and Knowledge Engineer, Ministry of Education",China,Unknown
"Key Lab of Weak Light Nonlinear Photonics, Ministry of Education","Tianjin 300457, Hongda Street 23, China",Tianjin University
"Key Laboratory for Carcinogenesis and Cancer Invasion, Chinese Ministry of Education","Shanghai, 200032, China",Fudan University
"Key Laboratory for Green Chemical Process of Ministry of Education, School of Chemical and Environmental Engineering, Wuhan Institute of Technology, Donghu New and High Technology Development Zone","Wuhan, 430205, China",Wuhan Institute of Technology
"Eng. Res. Ctr. for Biomed. Materials, Ministry of Education, E. China Univ. of Sci./Technology","Shanghai 200237, China",East China University of Science and Technology
Key Laboratory of Ministry of Education for Advanced Materials in Tropical Island Resources,"Hainan University No. 58, Renmin Avenue, Haikou, 570228, China",Hainan University
"Targeted Biotherapy Key Laboratory of Ministry of Education, Wuhan","Hubei, China",Huazhong University of Science and Technology
"The State Key Laboratory Breeding Base of Basic Science of Stomatology(Hubei- MOST KLOS), Key Laboratory for Oral Biomedical Engineering of Ministry of Education (KLOBME)","Wuhan, 430079, China",Wuhan University
"Institute of Photo-eletronic Thin Film Devices and Technique, Key Laboratory of Photo-eletronic Thin Film Devices and Technique of Tianjin, Key Laboratory of Photo-electronic Information Science and Technology of Ministry of Education","Tianjin 300071, China",Nankai University
"Engineering Research Center of Sustainable Development, Utilization of Biomass Energy, Ministry of Education","Kunming 650092, China",Yunnan Normal University
Key Laboratory for Oral Biomedical Engineering of Ministry of Education,"Wuhan, 430079, China",Wuhan University
"Key Laboratory of Energy Conversion and Storage Technologies, Ministry of Education",China,Unknown
The Key Lab of the Ministry of Education for Process Control and Efficiency Engineering,"NO. 28 Xianning Road, Xi'an Shaanxi, 710049, China",Xi'an Jiaotong University
"Key Laboratory for Nanomaterials, Beijing Univ. of Chemical Technology, Ministry of Education","Beijing 100029, China",Beijing University of Chemical Technology
"Key Laboratory of Biomedical Information Engineering of Ministry of Education, Department of Bioengineering, School of Life Science and Technology","Xi'an, China",Xi'an Jiaotong University
"Zhejiang Provincial Key Laboratory for Technology and Application of Model Organisms, Key Laboratory of Laboratory Medicine, Ministry of Education",China,Unknown
"The Key Laboratory of Cardiovascular Remodeling and Function Research, Chinese Ministry of Education and Chinese Ministry of Health, the State and Shandong Province Joint Key Laboratory of Translational Cardiovascular Medicine","Ji'nan, China",Shandong University
"Key Laboratory ofSystem Control and Information Processing, Ministry ofEducation","Shanghai, China",Shanghai Jiao Tong University
"The Key Laboratory of Antiinflammatory and Immune Medicines, Ministry of Education",China,Unknown
"Key Laboratory of Advanced Textile Composites, Ministry of Education","Tianjin 300387, China",Tianjin Polytechnic University
"The Engineering Research Center of Intelligent Unmanned System, Ministry of Education","Jinan, 250061, China",Shandong University
"Key Laboratory of Agricultural Animal Genetics, Breeding and Reproduction, Ministry of Education of China","430070, China",Unknown
"Co-construction Collaborative Innovation Center for Chinese Medicine and Respiratory Diseases, Henan and Education Ministry of China","Zhengzhou, 450046, China",Henan University of Chinese Medicine
"The Ministry of Education Key Lab. of Electronic Equipment Structure, Xidian Univ","Xi'an 710071, China",Xidian University
"Key Laboratory of Marine Drugs, Ministry of Education of China, School of Medicine and Pharmacy","Qingdao, 266003, China",Ocean University of China
"Key Laboratory of C&pc Structures of Ministry of Education, Southeast Univ.","Nanjing, 211189, China",Southeast University
"Key Laboratory of Advance Materials of Precious-Nonferrous Metals, Ministry of Education of PR China","Kunming 650093, China",Kunming University of Science and Technology
"Key Laboratory of Engineering Dielectrics and Its Application, Ministry of Education",China,Unknown
"Engineering Research Center of Applied Technology of Pharmacogenomics, Ministry of Education",China,Central South University
"Key Laboratory of Low-Grade Energy Utilization Technologies and Systems, Chongqing Univ., Ministry of Education","Chongqing, 400030, China",Chongqing University
"Key Laboratory of Electronics and Information Technology in Satellite Navigation, Beijing Institute of Technology, Ministry of Education","Beijing, 100081, China",Beijing Institute of Technology
"Key Laboratory of Computer Vision and System, Ministry of Education","Tianjin, 300191, China",Unknown
"Key Laboratory of Glycoscience & Glycotechnology of Shandong Province, Key Laboratory of Marine Drugs, Chinese Ministry of Education",China,Ocean University of China
"Key Laboratory of CandPC Structures, Ministry of Education, Southeast Univ.","Nanjing 210096, China",Southeast University
"Key Laboratory of Spatial Data, Mining and Information, Sharing of Ministry of Education","Fuzhou 350002, China",Fuzhou University
"State Key Laboratory of Marine Environmental Science, Key Laboratory of Ministry of Education for Coast and Wetland Ecosystems, School of Life Sciences","Xiamen University, Xiamen 361005, China",Xiamen University
"Key Laboratory of Terahertz Optoelectronics, Ministry of Education","Beijing 100084, China",Tsinghua University
"Key Laboratory of The Ministry of Education for the Cultivation and Protection of Economic Forestry, Central South Univ. of Forestry and Technology","Hunan, Changsha, 410004, China",Central South University of Forestry and Technology
"Key Lab. of Opto-Electronic Technology and System, Ministry of Education, Ministry of Education","Chongqing 400030, China",Chongqing University
"Key Laboratory of Western China Mineral Resources and Geological Engineering, Ministry of Education of the People's Republic of China","Xi'an, 710054, Shaanxi, China",Chang'an University
"Engineering Research Center of Applied Technology of Pharmacogenomics, Ministry of Education","110 Xiangya Rd., Changsha, 410078, China",Central South University
"Key Lab. Earth-Explor./Info. T.E., Education Ministry of China","Chengdu, 610059, China",Unknown
"Engineering Research Center of Complex Product Advanced Manufacturing System, Ministry of Education",China,Unknown
"Engineering Research Center of Modern Chinese Medicine Discovery and Preparation Technique, Ministry of Education","Tianjin, 301617, China",Tianjin University
"Key Lab of Broadband Wireless Communication and Sensor Network Technology, Ministry of Education","Nanjing 210013, China",Southeast University
"Key Laboratory of Laboratory Medical Diagnostics, Ministry of Education, Department of Laboratory Medicine",China,Unknown
"Key Laboratory of Mine Thermo-motive Disaster and Prevention, Ministry of Education","Liaoning, Huludao, 125000, China",Liaoning Technical University
"Ministry of Civil Affairs and Ministry of Education, Academy of Disaster Reduction and Emergency Management","Beijing, China",Unknown
"Key Laboratory for Green Chemical Process of Ministry of Education, Hubei Key Laboratory for Novel Reactor and Green Chemistry Technology, School of Chemical Engineering and Pharmacy, Wuhan Institute of Technology","Xiongchu Ave, Wuhan, 430073, Hubei, China",Wuhan Institute of Technology
"Key Laboratory of Opto-Electronic Information Technology, Ministry of Education","Tianjin, 300072, China",Tianjin University
"Zhong Shan Hospital, Key Laboratory for Carcinogenesis and Cancer Invasion, Chinese Ministry of Education","Shanghai, China",Fudan University
"Key Laboratory of Synthetic and Natural Functional Molecule Chemistry, Ministry of Education, School of Chemistry and Materials Science","Xi'an 710069, China",Northwest University
"Key Laboratory of Functional Small Organic Molecule, Ministry of Education","Jiangxi Province, China",Unknown
"Engineering Research Center of the Modern Technology for Eel Industry, Ministry of Education","PR China, Fujian, Xiamen, 361021, China",Xiamen University
"Key Lab of Land Resources Evaluation and Monitoring in Southwest, Ministry of Education","Chengdu, China",Chengdu University of Technology
"Key Laboratory of Urban Security and Disaster Engineering, Ministry of Education, Beijing Univ. of Technology","No. 100, Pingleyuan, Chaoyang District, Beijing, 100124, China",Beijing University of Technology
"Key Laboratory of Catalysis and Material Science, State Ethnic Affairs Commission, Ministry of Education","Wuhan, China",Central China Normal University
"Key Laboratory of Fiber Optic Sensing Technology and Information Processing, Ministry of Education","Wuhan, Hubei 430070, China",Huazhong University of Science and Technology
"Ministry of Education of People’s Republic of China, Key Laboratory of Functional Inorganic Material Chemistry","Heilongjiang, Harbin, China",Harbin Normal University
"Key Laboratory of Auxiliary Chemistry and Technology for Light Chemical Industry, Ministry of Education","Xi'an 710021, China",Shaanxi University of Science and Technology
"Key Lab of Textile Science & Technology, Ministry of Education","Shanghai, China",Donghua University
"Key Laboratory of Green Extraction & Efficient Utilization of Light Rare-Earth Resources, Ministry of Education","Baotou, 014010, Inner Mongolia, China",Inner Mongolia University of Science and Technology
"Key Laboratory of Cluster Science, Ministry of Education of China, Beijing Key Laboratory of Photoelectric/Electrophotonic Conversion Materials, School of Chemistry, Beijing Institute of Technology","Beijing, 100081, China",Beijing Institute of Technology
"Key Laboratory of New Technology for Construction of Cities in Mountain Area, Ministry of Education","Chongqing 400030, China",Chongqing University
"Key Laboratory of Artificial Intelligence, Ministry of Education","Shanghai, China",Unknown
"Key Laboratory of the Three Gorges Reservoir Region's Eco-Environment, Ministry of Education","Chongqing, China",Chongqing University
"Key Laboratory of Advanced Display and System Application and Special Display Technology, Ministry of Education","Shanghai 200072, China",Unknown
"Key Laboratory of Coastal Disaster and Defence, Ministry of Education","Nanjing, 210098, China",Hohai University
"Key Laboratory of Coalbed Methane Resource and Reservoir Formation Process, Ministry of Education","Xuzhou, China",China University of Mining and Technology
"Key Laboratory of Advanced Reactor Engineering and Safety, Ministry of Education","Beijing, 10084, China",Tsinghua University
"Key Laboratory of Synergetic and Biological Colloids, Ministry of Education","Wuxi, China",Unknown
"Key Laboratory on Luminescence and Real-Time Analysis, Ministry of Education, School of Chemistry and Chemical Engineering","Chongqing, 400715, China",Chongqing University
"Key Laboratory of Petroleum Engineering, Ministry of Education","Changping, 102249, Beijing, China",China University of Petroleum
"Key Laboratory for Analytical Science of Food Safety and Biology, Ministry of Education",China,Unknown
"Key Laboratory of Road and Traffic Engineering of the Ministry of Education, Tongji Univ.","P.O. Box 201804, Shanghai, China",Tongji University
"Key Lab. Envrn. Change/Nat. Disaster, China Ministry of Education, Institute of Resources Science","Beijing 100875, China",Beijing Normal University
"Key Laboratory of Crop Genetic Resources and Improvement, Ministry of Education","Yaan 625014, China",Unknown
"Key Laboratory of Intelligent Computing & Signal Processing, Ministry of Education, Anhui Universit","Hefei, 230601, China",Anhui University
"Core Laboratory for Clinical Cardiovascular Genetics, Ministry of Education, Sino-German Laboratory for Molecular Medicine","Beijing 100037, China",Unknown
Engineering Research Center of Intelligent PSE,"Ministry of Education of China, Beijing, 100029, China",Unknown
"State Key Laboratory of Soil Erosion and Dryland Faming On the Loess Plateau, The Research Center of Soil and Water Conservation and Ecological Environment, Chinese Academy of Sciences and Ministry of Education","Shaanxi, Yangling, 712100, China",Northwest A&F University
"Key Laboratory of Reproductive Genetics, Ministry of Education, Department of Reproductive Endocrinology, Women's Hospital, School of Medicine",China,Zhejiang University
"Engineering Research Center of Energy Storage Materials and Devices, Ministry of Education",China,Unknown
"Ministry of Education of China, Department of Chemistry, Beijing Institute of Technology","Haidian District, Beijing 100081, 5 South Zhongguancun Street, China",Beijing Institute of Technology
Key Laboratory of Applied Surface and Colloid Chemistry Ministry of Education,"Xi'an, China",Northwest University
"Engineering Research Center of Polymer Green Recycling, Ministry of Education","Fuzhou, 350007, China",Fuzhou University
"Key Laboratory of Grassland Ecosystem, Ministry of Education, Sino-U. S. Center for Grassland Ecosystem Sustainability","Lanzhou, 730070, China",Lanzhou University
"College of Materials Science and Engineering, Key Laboratory of Advanced Functional Materials, Ministry of Education of China","Beijing, 100124, China",University of Science and Technology Beijing
2011 Project Collaborative Innovation Center for Biotherapy of Ministry of Education,"Tianjin, 300071, China",Tianjin Medical University
"Key Laboratory of Subsurface Hydrology and Ecology Effects in Arid Areas, Ministry of Education","Xi'an, 710064, China",Chang'an University
"Key Laboratory of Molecular Neurobiology, Ministry of Education","Shanghai, China",Shanghai Medical College of Fudan University
"Key Laboratory of Highway Engineering of Ministry of Education of China, Changsha Univ. of Science and Technology","Changsha, Hunan, 410076, Chiling Road 45#, China",Changsha University of Science and Technology
"Engineering Research Center of Intelligent Technology for Agriculture, Ministry of Education",China,Unknown
"Key Laboratory of Orogenic Belts and Crustal Evolution, Ministry of Education of China","Beijing 100871, China",Peking University
"Key Laboratory of Advanced Displays and System Application, Ministry of Education","Shanghai 200072, 149 Yanchang Rd., China",Shanghai University
Key Laboratory of Animal Production and Product Quality Safety of Ministry of Education,"Changchun, 130118, China",Jilin University
"Department of Gynecology and Obstetrics, Key Lab. of Obstetric and Gynecologic and Pediat. Dis. and Birth Defects of Ministry of Education, West China Second Hospital","Chengdu 610041, Sichuan, China","West China Second Hospital, Sichuan University"
Image Processing and Intelligent Control Key Laboratory of Education Ministry of China,"Wuhan 430074, China",Unknown
Key Laboratory for Mining and Disaster Prevention in the West of the Ministry of Education,"Xi'an, China",Xi'an University of Science and Technology
Key Lab for Spacecraft TT and C and Communication under the Ministry of Education,"Chongqing, 400044, China",Unknown
"Key Laboratory of Geotechnical and Underground Engineering of Ministry of Education, Dept. of Geotechnical Engineering, College of Civil Engineering, Tongji Univ.","Shanghai, China",Tongji University
"College of Food Science and Nutritional Engineering, Key Laboratory of Functional Dairy, Chinese Ministry of Education","Beijing, 100083, China",China Agricultural University
"Ministry of Education, Key Laboratory of Advanced Displays and System Application","Shanghai, China",Unknown
"Key Laboratory of Road and Traffic Engineering of Ministry of Education, Tongji Univ.","4800 Cao'an Rd., Shanghai, 201804, China",Tongji University
"Key Laboratory of Concrete and Prestressed Concrete Structures, Min. of Educ. and Laboratory of Industrialized Structural and Bridge Engineering of Jiangsu Province, Southeast Univ.","Nanjing, 210096, China",Southeast University
"Key Laboratory of Oracle Bone Inscriptions Information Processing, Ministry of Education of China","Anyang, Henan, 455000, China",Anyang Normal University
"Key Laboratory of Microsystems and Microstructures Manufacturing Ministry of Education, Harbin Institute of Technology","No. 2 Yikuang Street, Harbin, 150080, China",Harbin Institute of Technology
"Key Laboratory of E&M, Ministry of Education & Zhejiang Province","Hangzhou, China",Zhejiang University
"Research Center of Mine Underground Engineering, Ministry of Education","Huainan, Anhui, 232001, China",Anhui University of Science and Technology
"Department of Otorhinolaryngology-Head and Neck Surgery, Beijing Tongren Hospital, Ministry of Education","Beijing 100730, China",Beijing Tongren Hospital
"Key Laboratory of Micro-Systems and Micro-Structure Manufacturing, Ministry of Education",China,Unknown
Key Laboratory of Subsurface Hydrology and Ecological Effect in Arid Region of Ministry of Education,"Xi’an, 710054, China",Chang'an University
"Key Laboratory of Automobile Materials, Ministry of Education, College of Material Science and Engineering","Changchun, 130026, China",Jilin University
"Key Laboratory of Civil Engineering, Safety and Durability of China Education Ministry","Beijing 100084, China",Tsinghua University
"Key Laboratory of Services Computing Technology and System, Ministry of Education, School of Computer Science and Technology",China,Huazhong University of Science and Technology
"Key Laboratory of Functional Small Organic Molecule, Ministry of Education, College of Chemistry and Chemical Engineering","Nanchang, Jiangxi 330022, China",Nanchang University
"Key Lab. of Bio-Resources/Eco-Envrn., Ministry of Education, College of Life Science","Chengdu 610064, China",Sichuan University
"Engineering Research Center of Molecular Medicine, Ministry of Education","Xiamen, 362021, China",Xiamen University
"Key Laboratory of High-Altitude Medicine, Ministry of Education","Xining, 810001, China",Unknown
"Intelligent Robotics Institute, Key Laboratory of Biomimetic Robots and System, Ministry of Education, Key Laboratory of Intelligent Control and Decision of Complex System, School of Mechatronical Engineering, Beijing Institute of Technology","5 South Zhongguancun Street, Haidian District, Beijing, 100081, China",Beijing Institute of Technology
"Key Laboratory of Chinese Ministry of Education for Construction, New Technology of Cities in Mountain Area","Chongqing, China",Chongqing University
"Key Lab of Medical Engineering for Cardiovascular Disease, Ministry of Education","Beijing, China",Unknown
"Key Laboratory of Artificial Micro-and Nano-structures of Ministry of Education, And Department of Physics","Wuhan University, Wuhan, Hubei, China",Wuhan University
"School of Textiles and Clothing, Key Laboratory of Eco-Textile, Ministry of Education","Wuxi, 214122, China",Jiangnan University
"Key Laboratory of Photoelectric Imaging Technology and System, Ministry of Education of China, School of Optics and Photonics, Beijing Institute of Technology","Beijing, 100081, China",Beijing Institute of Technology
"Key Laboratory of Modern Agricultural Equipment and Technology, Ministry of Education","Zhenjiang, 212013, China",Jiangsu University
"Key Laboratory of Specially Functional Materials, Ministry of Education","Guangzhou 510640, China",South China University of Technology
"Institute of Materials Chemistry, Key Laboratory of Advanced Civil Engineering Materials of the Ministry of Education, College of Materials Science and Engineering","Shanghai 200092, China",Tongji University
"Key Lab of Structural Dynamic Behavior and Control of China Ministry of Education, Harbin Institute of Technology","Harbin, 150090, China",Harbin Institute of Technology
"Key Laboratory of Freshwater Fish Reproduction and Development (Ministry of Education), Key Laboratory of Aquatic Science of Chongqing, School of Life Science","Chongqing, 400715, China",Chongqing Normal University
"Engineering Research of Center, High-Efficiency Development and Application Technology of Tungsten Resources, Ministry of Education","Ganzhou, 341000, China",Unknown
"Key Laboratory of Modern Toxicology of Ministry of Education, School of Public Health","Nanjing Medical University, Nanjing, China, China",Nanjing Medical University
"Key Laboratory of Eco-Environment-Related Polymer Materials, Ministry of Education, China","Gansu, 730070, China",Lanzhou University
Key Laboratory of Underground Cultural Relics Conservation Materials and Technology of the Ministry Education,"Xi'an, 710021, China",Unknown
"Key Laboratory of Green Processing and Functional Textiles of New Textile Materials (Wuhan Univ. of, Ministry of Education","Wuhan, 430073, No. 1 Fangzhi Road, Luxiang, China",Wuhan University
"Frontier Science Center for Synthetic Biology & Key Laboratory of Systems Bioengineering, Ministry of Education of China","Tianjin, 300072, China",Tianjin University
Key Lab of Optoelectronic Science and Technology for Medicine of Ministry of Education,"Fuzhou, 350007, China",Fuzhou University
"Central Laboratory of Oncology Department, Research Center of Basic Medical Sciences, Key Laboratory of Breast Cancer Prevention and Therapy of the Ministry of Education","Tianjin 300060, China",Tianjin Medical University
"Key Laboratory of Rd. and Traffic Engineering, Ministry of Education, College of Transportation Engineering, Tongji Univ.","PO Box 201804, Shanghai, China",Tongji University
"Key Laboratory of Unconventional Metallurgy, Ministry of Education","Kunming Yunnan 650093, China",Kunming University
"Key Laboratory of Chemical Biology and Molecular Engineering, Ministry of Education, Institute of Biotechnology","Taiyuan, 030006, China",Shanxi University
Key Laboratory of Aerospace Information Security and Trusted Computing Ministry of Education,"Wuhan 430072, China",Unknown
"Intl. Joint Research Laboratory of Biomimetic Robots and Systems Beijing Institute of Technology, Ministry of Education","Beijing, 100081, China",Beijing Institute of Technology
"Institute of Polymer Composites, Key Laboratory of Macromolecular Synthesis and Functionalization, Ministry of Education","Hangzhou, 310027, China",Zhejiang University
"Key Laboratory of Cluster Science, Ministry of Education of China, Beijing Key Laboratory of Photoelectric/Electrophotonic Conversion Materials, School of Chemistry, Beijing Institute of Technology",China,Beijing Institute of Technology
"Ministry of Education Key Laboratory of Child Development and Disorders, Chongqing Key Laboratory of Children Urogenital Development and Tissue Engineering, Chongqing Key Laboratory of Pediatrics, China International Science and Technology Cooperation Base of Child Development and Critical Disorders, National Clinical Research Center for Child Health and Disorders","Chongqing, China",Chongqing Medical University
"Key Laboratory of Road and Traffic Engineering of Ministry of Education, Tongji Univ","Shanghai, 200092, China",Tongji University
"Beijing Key Laboratory of Photoelectronic/Electrophotonic Conversion Materials, Key Laboratory of Cluster Science of Ministry of Education, School of Chemistry and Chemical Engineering","Beijing, 100081, China",Beijing Normal University
"Key Laboratory of Multifunctional Materials and Structures, Ministry of Education","Xi'an, China",Northwestern Polytechnical University
Key Lab. of Soil and Water Conservation and Desertification Combating of Ministry of Educ.,"Beijing 100083, China",Unknown
"Department of Physics, Key Lab. of Material Physics, Ministry of Education","Zhengzhou, 450001, 100 Kexue Avenue, China",Zhengzhou University
Key Lab. of Educ. Min. for the Exploitation of Southwestern Res. and the Environ. Disaster Cont. Eng,"Chongqing 400030, China",Chongqing University
"Key Laboratory of Advanced Control and Optimization for Chemical Process, Ministry of Education","Shanghai, CO 200237, China",East China University of Science and Technology
"Key Laboratory of Green Chemical Process, Wuhan Institute of Technology, Ministry of Education","Wuhan 430073, China",Wuhan Institute of Technology
Key Laboratory of Advanced Structural Materials of the Ministry of Education,"Changchun, 130012, China",Unknown
"Key Laboratory of Materials Processing and Mold Technology, Ministry of Education","Zhengzhou, 450002, China",Unknown
"Beijing Institute of Technology, Zhuhai, Key Laboratory of Photo-electronic Imaging Technology and System (Zhuhai Branch), Ministry of Education of China, Collaborative Innovation Center of Photoelectric Information Technology and Application","Zhuhai, 519088, China",Beijing Institute of Technology
